"","bird","date","task","trial","numLeft","numRight","areaLeft","areaRight","correct","choice","accuracy","RT","session","areaIncorrect","numIncorrect","areaCorrect","numCorrect","T_areaInc","T_numInc","T_areaCorr","T_numCorr","Euclidean","CityBlock"
"191","43R",2022-09-03,"n-A",31,6,6,7,21,"R","L",0,0.753,2,7,6,21,6,4,1,9,1,5,5
"192","43R",2022-09-03,"n-A",32,12,6,17,21,"R","R",1,0.676,2,17,12,21,6,8,5,9,1,4.12310562561766,5
"193","43R",2022-09-03,"n-A",33,6,8,21,5,"L","L",1,0.669,2,5,8,21,6,2,3,9,1,7.28010988928052,9
"194","43R",2022-09-03,"n-A",34,6,12,21,6,"L","L",1,1.253,2,6,12,21,6,3,5,9,1,7.21110255092798,10
"195","43R",2022-09-03,"n-A",35,22,6,11,21,"R","R",1,0.808,2,11,22,21,6,6,9,9,1,8.54400374531753,11
"196","43R",2022-09-03,"n-A",36,14,6,9,21,"R","R",1,0.734,2,9,14,21,6,5,6,9,1,6.40312423743285,9
"197","43R",2022-09-03,"n-A",37,6,8,21,7,"L","R",0,1.313,2,7,8,21,6,4,3,9,1,5.3851648071345,7
"198","43R",2022-09-03,"n-A",38,8,6,4,21,"R","R",1,1.827,2,4,8,21,6,1,3,9,1,8.24621125123532,10
"199","43R",2022-09-03,"n-A",39,6,6,14,21,"R","L",0,0.949,2,14,6,21,6,7,1,9,1,2,2
"200","43R",2022-09-03,"n-A",40,7,6,6,21,"R","R",1,0.513,2,6,7,21,6,3,2,9,1,6.08276253029822,7
"201","43R",2022-09-03,"n-A",41,6,10,21,7,"L","L",1,0.626,2,7,10,21,6,4,4,9,1,5.8309518948453,8
"202","43R",2022-09-03,"n-A",42,6,19,21,7,"L","R",0,1.209,2,7,19,21,6,4,8,9,1,8.60232526704263,12
"203","43R",2022-09-03,"n-A",43,6,10,21,6,"L","L",1,1.127,2,6,10,21,6,3,4,9,1,6.70820393249937,9
"204","43R",2022-09-03,"n-A",44,16,6,7,21,"R","L",0,0.657,2,7,16,21,6,4,7,9,1,7.81024967590665,11
"205","43R",2022-09-03,"n-A",45,16,6,21,21,"R","L",0,0.485,2,21,16,21,6,9,7,9,1,6,6
"206","43R",2022-09-03,"n-A",46,22,6,6,21,"R","R",1,0.822,2,6,22,21,6,3,9,9,1,10,14
"207","43R",2022-09-03,"n-A",47,7,6,11,21,"R","R",1,0.831,2,11,7,21,6,6,2,9,1,3.16227766016838,4
"208","43R",2022-09-03,"n-A",48,12,6,5,21,"R","R",1,0.89,2,5,12,21,6,2,5,9,1,8.06225774829855,11
