"","bird","session","accuracy","Euclidean","CityBlock"
"260","43R",2,1,8.06225774829855,9
"261","43R",2,1,7.28010988928052,9
"262","43R",2,1,8.54400374531753,11
"263","43R",2,1,4.24264068711928,6
"264","43R",2,1,5.8309518948453,8
"265","43R",2,1,10,14
"266","43R",2,1,6,6
"267","43R",2,1,6,6
"268","43R",2,1,8,8
"269","43R",2,1,9.21954445729289,13
"270","43R",2,1,5,5
"271","43R",2,1,8.06225774829855,9
"272","43R",2,1,4.12310562561766,5
"273","43R",2,1,9.21954445729289,13
"274","43R",2,1,8.06225774829855,9
"275","43R",2,1,10.6301458127346,15
"276","43R",2,0,1.4142135623731,2
"277","43R",2,0,5,5
"278","43R",2,1,4.47213595499958,6
"279","43R",2,1,7,7
"280","43R",2,1,4.12310562561766,5
"281","43R",2,0,2.23606797749979,3
"282","43R",2,1,4.24264068711928,6
"283","43R",2,1,1,1
"284","43R",2,1,7.21110255092798,10
"285","43R",2,1,7.81024967590665,11
"286","43R",2,1,8.60232526704263,12
"287","43R",2,1,8.94427190999916,12
"288","43R",2,1,8.06225774829855,11
"289","43R",2,0,2,2
"290","43R",2,0,3.60555127546399,5
"291","43R",2,1,7.21110255092798,10
"292","43R",2,0,7,7
"293","43R",2,0,8.54400374531753,11
"294","43R",2,1,5.8309518948453,8
"295","43R",2,1,2.82842712474619,4
"296","43R",2,1,5,7
"297","43R",2,0,1,1
"298","43R",2,1,6.32455532033676,8
"299","43R",2,1,5.09901951359278,6
"300","43R",2,1,5,7
"301","43R",2,1,7.81024967590665,11
"302","43R",2,1,8,8
"303","43R",2,1,3.60555127546399,5
"304","43R",2,1,7,7
"305","43R",2,0,5.3851648071345,7
"306","43R",2,1,1,1
"307","43R",2,1,3,3
"308","43R",2,0,3,3
"309","43R",2,1,6.40312423743285,9
"310","43R",2,1,7.61577310586391,10
"311","43R",2,1,8.24621125123532,10
"312","43R",2,1,2.23606797749979,3
"313","43R",2,1,7.07106781186548,8
"314","43R",2,1,6.32455532033676,8
"315","43R",2,1,7.81024967590665,11
"316","43R",2,1,9.21954445729289,13
"317","43R",2,1,7.61577310586391,10
"318","43R",2,0,4.47213595499958,6
"319","43R",2,0,2.82842712474619,4
"320","43R",2,1,5.09901951359278,6
"321","43R",3,0,4.12310562561766,5
"322","43R",3,1,11.3137084989848,16
"323","43R",3,1,6.70820393249937,9
"324","43R",3,1,3.16227766016838,4
"325","43R",3,1,7.61577310586391,10
"326","43R",3,1,5.3851648071345,7
"327","43R",3,0,10,14
"328","43R",3,1,10.6301458127346,15
"329","43R",3,1,10.6301458127346,15
"330","43R",3,1,4.47213595499958,6
"331","43R",3,0,2,2
"332","43R",3,1,5.8309518948453,8
"333","43R",3,1,7.81024967590665,11
"334","43R",3,1,5.8309518948453,8
"335","43R",3,1,7.07106781186548,8
"336","43R",3,1,9.4339811320566,13
"337","43R",3,1,4.12310562561766,5
"338","43R",3,0,4.47213595499958,6
"339","43R",3,1,8,8
"340","43R",3,1,10.6301458127346,15
"341","43R",3,1,7.28010988928052,9
"342","43R",3,1,4.12310562561766,5
"343","43R",3,1,7,7
"344","43R",3,1,5.3851648071345,7
"345","43R",3,1,2.23606797749979,3
"346","43R",3,1,6,6
"347","43R",3,1,5.65685424949238,8
"348","43R",3,1,7.21110255092798,10
"349","43R",3,1,8.54400374531753,11
